time_utc,time_local,download_bps,upload_bps,ping_ms,isp
2022-07-14 03:59:20+00:00,2022-07-13 22:59:19-05:00,120106749,174389218,18,Cox Business
2022-07-14 04:14:53+00:00,2022-07-13 23:14:53-05:00,145716035,161630153,16,Cox Business
2022-07-14 04:17:50+00:00,2022-07-13 23:17:50-05:00,114431056,109993550,31,Cox Business
2022-07-15 03:32:58+00:00,2022-07-14 22:32:58-05:00,137631170,108696651,33,Cox Business
2022-07-15 03:54:20+00:00,2022-07-14 22:54:20-05:00,65640331,97291308,22,Cox Business
2022-07-15 03:57:42+00:00,2022-07-14 22:57:42-05:00,189826965,161210776,16,Cox Business
2022-07-15 11:02:35+00:00,2022-07-15 06:02:35-05:00,147058954,88897968,49,Cox Business
2022-07-15 11:27:26+00:00,2022-07-15 06:27:25-05:00,166693245,116633706,17,Cox Business
2022-07-15 11:35:24+00:00,2022-07-15 06:35:24-05:00,153039842,169676691,18,Cox Business
2022-07-15 11:40:47+00:00,2022-07-15 06:40:47-05:00,179345667,169155161,15,Cox Business
2022-07-15 20:36:55+00:00,2022-07-15 15:36:55-05:00,171145591,166909851,21,Cox Business
2022-07-15 20:43:02+00:00,2022-07-15 15:43:02-05:00,176096620,169868810,15,Cox Business
2022-07-16 04:06:16+00:00,2022-07-15 23:06:15-05:00,162751408,162293385,13,Cox Business
2022-07-16 04:07:21+00:00,2022-07-15 23:07:21-05:00,72732500,67471045,29,Cox Business
2022-07-16 04:47:30+00:00,2022-07-15 23:47:30-05:00,77749988,118569935,28,Cox Business
2022-07-16 05:04:14+00:00,2022-07-16 00:04:14-05:00,107453815,120843497,28,Cox Business
2022-07-16 05:09:51+00:00,2022-07-16 00:09:51-05:00,169784717,130212135,11,Cox Business
2022-07-16 05:10:41+00:00,2022-07-16 00:10:41-05:00,143851986,156955114,10,Cox Business
2022-07-16 05:11:30+00:00,2022-07-16 00:11:30-05:00,74221113,152288323,11,Cox Business
2022-07-16 05:12:52+00:00,2022-07-16 00:12:52-05:00,105808468,115614341,28,Cox Business
